ID,CultLand,CropTillageDepth,Residue_length,Block,Harv_method,Residue_perc,Seedlings,Districts,LandPreparationMethods
ID_UYZODZQWI0DA,5,4,30,5,0,10,1.25,semi-desert,TractorPlough FourWheelTracRotavator
ID_264X2NG2NY2E,7,4,27,3,0,10,1.75,lush,TractorPlough
ID_46XN2K18VT4J,20,5,25,6,0,10,4.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_119NZP9PH6YL,30,3,30,7,1,40,10.0,semi-desert,WetTillagePuddling FourWheelTracRotavator TractorPlough
ID_K5L01G1W8XZU,18,3,25,4,0,10,6.0,lush,TractorPlough
ID_QLRYC0W1QHZL,50,3,28,7,0,10,16.666666666666668,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_Y88JIV2AQCGU,16,4,30,5,0,10,4.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_CT6MNDMIDIUJ,17,3,28,4,0,10,5.666666666666667,lush,TractorPlough
ID_3T6SMELTB6OE,45,4,28,7,1,40,11.25,semi-desert,TractorPlough
ID_XSMYO6MXJXKA,10,4,29,3,0,10,2.5,lush,TractorPlough BullockPlough
ID_SBUFZYV9DIG7,5,4,30,5,0,10,1.25,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_9JESYQVUN9KX,60,5,25,8,0,10,12.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_LOX2PWOVQRSM,10,5,25,0,0,10,2.0,semi-desert,FourWheelTracRotavator TractorPlough
ID_9HBT1YYOFSGB,20,6,28,2,0,10,3.3333333333333335,desert,TractorPlough FourWheelTracRotavator
ID_BLQH8SCT1NGJ,18,4,25,4,0,10,4.5,lush,TractorPlough
ID_QOKT1A6MSEE4,10,5,26,2,0,10,2.0,desert,TractorPlough FourWheelTracRotavator
ID_11LFADU87LDM,15,5,25,6,0,10,3.0,semi-desert,WetTillagePuddling
ID_RKBD1647G400,48,5,25,7,0,10,9.6,semi-desert,WetTillagePuddling TractorPlough
ID_W53ULSZ3UZJK,40,3,28,3,0,10,13.333333333333334,lush,WetTillagePuddling TractorPlough BullockPlough
ID_8ZILXR3OQZL6,15,7,30,2,0,10,2.142857142857143,desert,TractorPlough FourWheelTracRotavator
ID_65HLDNBTHTMA,17,5,25,5,0,10,3.4,semi-desert,WetTillagePuddling FourWheelTracRotavator TractorPlough BullockPlough
ID_TIKWCE335Y03,7,6,30,1,0,10,1.1666666666666667,semi-desert,TractorPlough
ID_MN8E1BNRB74Q,20,4,22,4,0,10,5.0,lush,TractorPlough
ID_YS6COON50DSZ,30,5,26,7,0,10,6.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_J38DX6YPTUVG,20,4,30,0,0,10,5.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_R8GZHBOR0C8A,30,8,22,7,0,10,3.75,semi-desert,TractorPlough
ID_FN24IPP78DNJ,30,6,25,7,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_BQ20HT20RMFG,15,4,27,3,0,10,3.75,lush,WetTillagePuddling TractorPlough BullockPlough
ID_U6R1WRGJOJ26,10,4,30,8,0,10,2.5,desert,WetTillagePuddling FourWheelTracRotavator
ID_O5NJRVM7YBHD,18,5,25,0,0,10,3.6,semi-desert,TractorPlough FourWheelTracRotavator
ID_WMNYR5HUARA0,15,4,30,5,0,10,3.75,semi-desert,TractorPlough FourWheelTracRotavator
ID_UGK3VLINKE0T,45,5,25,6,0,10,9.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_N1ELLJ1F32VU,36,2,29,7,0,10,18.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_YRTFNXTG6BEB,20,5,30,5,0,10,4.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_Z2LZHB6IZNLV,40,6,25,7,0,10,6.666666666666667,semi-desert,FourWheelTracRotavator TractorPlough
ID_4COSJYFQFGF0,50,5,25,6,0,10,10.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_FLBYCIGO9364,60,4,30,3,0,10,15.0,lush,TractorPlough BullockPlough
ID_MMFOK6E19M32,10,6,25,7,0,10,1.6666666666666667,semi-desert,TractorPlough FourWheelTracRotavator WetTillagePuddling
ID_7KNDYCJ466YY,9,3,27,3,0,10,3.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_9WUPJHFZO5UD,20,3,26,3,0,10,6.666666666666667,lush,WetTillagePuddling TractorPlough BullockPlough
ID_5UMLAE7722BX,20,4,28,3,0,10,5.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_486T7PEG0FXN,35,6,30,1,0,10,5.833333333333333,semi-desert,TractorPlough
ID_NRS5FCTZ09OS,2,5,30,5,0,10,0.4,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_9IJI29W2ASGM,20,3,29,4,0,10,6.666666666666667,lush,TractorPlough
ID_2G6KYRCQBRDT,5,5,30,5,0,10,1.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_HCFBHUMWDOU7,11,6,25,1,0,10,1.8333333333333333,semi-desert,TractorPlough
ID_94PSYSHEJBDB,20,5,26,2,0,10,4.0,desert,TractorPlough FourWheelTracRotavator
ID_DOY33MDOX4FR,50,2,21,7,0,10,25.0,semi-desert,WetTillagePuddling TractorPlough
ID_NI6FI5P1GP0X,10,3,27,0,0,10,3.3333333333333335,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_7GANWJYJD6Z7,60,5,24,7,0,10,12.0,semi-desert,WetTillagePuddling TractorPlough
ID_D6370L9F1XL2,60,6,25,7,0,10,10.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_7Y683N7EADQP,20,3,25,4,0,10,6.666666666666667,lush,TractorPlough
ID_MDGU09SJ61SH,20,4,24,5,0,10,5.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_7TXQDJX92ZIH,5,5,30,5,0,10,1.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_BT5FUBI3P9UP,5,5,30,5,0,10,1.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_43OT1UDVOZ6L,35,5,24,7,0,10,7.0,semi-desert,WetTillagePuddling TractorPlough
ID_3BZ3TLQ5VBXL,13,3,28,4,0,10,4.333333333333333,lush,TractorPlough
ID_56D3P11C05TJ,40,6,28,2,0,10,6.666666666666667,desert,TractorPlough FourWheelTracRotavator
ID_E0PNCW5T7KH3,7,5,25,5,0,10,1.4,semi-desert,FourWheelTracRotavator WetTillagePuddling
ID_ZTRZJ5XPXD8B,60,5,23,7,0,10,12.0,semi-desert,WetTillagePuddling TractorPlough
ID_XK3UUKBRNWL1,36,4,21,4,0,10,9.0,lush,TractorPlough
ID_1O9LL7IVY88J,80,3,30,7,1,40,26.666666666666668,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_23NX63YLHT8V,45,6,25,7,0,10,7.5,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_QY4CNUU42XYI,10,5,30,5,0,10,2.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_35LS6XBM4E3S,18,3,25,4,0,10,6.0,lush,TractorPlough
ID_R12BY5V79TMO,28,5,25,7,0,10,5.6,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_07TV7F6HT8GL,35,4,27,3,0,10,8.75,lush,TractorPlough WetTillagePuddling BullockPlough
ID_QPK9L3KUPQQG,10,5,25,5,0,10,2.0,semi-desert,TractorPlough WetTillagePuddling FourWheelTracRotavator BullockPlough
ID_EG56KY6KDYOO,8,4,30,5,0,10,2.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_WKXCHIGZ1UO3,13,5,30,5,0,10,2.6,semi-desert,WetTillagePuddling FourWheelTracRotavator BullockPlough TractorPlough
ID_WJMQB54TOILP,15,6,25,7,0,10,2.5,semi-desert,FourWheelTracRotavator TractorPlough WetTillagePuddling
ID_O9VN6YD813VB,30,7,30,2,0,10,4.285714285714286,desert,TractorPlough FourWheelTracRotavator
ID_A5CMUY9NQCU9,100,5,30,2,0,10,20.0,desert,TractorPlough FourWheelTracRotavator
ID_NUWWCEYUSCP2,10,4,30,5,0,10,2.5,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_IKWD7U92HV5I,65,5,25,7,0,10,13.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_GNZFAIK4N9DS,40,6,27,2,0,10,6.666666666666667,desert,TractorPlough FourWheelTracRotavator
ID_6WOJA4AA712Z,3,5,30,5,0,10,0.6,semi-desert,WetTillagePuddling TractorPlough BullockPlough FourWheelTracRotavator
ID_DKMPBWUFKD0D,16,4,30,5,0,10,4.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_E1VNDVP1YCLV,65,4,25,7,1,40,16.25,semi-desert,TractorPlough
ID_YJAXOMHOKS4D,30,6,22,7,0,10,5.0,semi-desert,TractorPlough
ID_861HBGAGGAXH,42,4,22,4,0,10,10.5,lush,TractorPlough
ID_TVI0DVQWXZZ1,25,4,21,4,0,10,6.25,lush,TractorPlough
ID_BVHP72D2NID4,5,5,28,5,0,10,1.0,semi-desert,WetTillagePuddling FourWheelTracRotavator TractorPlough
ID_BMTRK594CE47,7,5,29,5,0,10,1.4,semi-desert,WetTillagePuddling BullockPlough TractorPlough FourWheelTracRotavator
ID_QFZB8AB6HD96,5,5,30,5,0,10,1.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_EI99CZEVGGFS,15,5,30,5,0,10,3.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_2CEGAZR85TVJ,15,3,24,4,0,10,5.0,lush,TractorPlough
ID_9BEBYD8AEALL,10,4,30,8,0,10,2.5,desert,WetTillagePuddling FourWheelTracRotavator
ID_3QVVABFGL5X1,30,3,25,6,0,10,10.0,semi-desert,TractorPlough
ID_5BCL49T7V54W,12,6,26,0,0,10,2.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_57NVBHNLQZOL,40,5,26,7,0,10,8.0,semi-desert,WetTillagePuddling TractorPlough
ID_L2AP25TKF985,32,4,22,4,0,10,8.0,lush,TractorPlough
ID_M30BUDDW5US4,10,4,30,3,0,10,2.5,lush,TractorPlough WetTillagePuddling BullockPlough
ID_Z6HHN0Y8CL65,14,4,25,8,0,10,3.5,desert,WetTillagePuddling FourWheelTracRotavator
ID_WRX3AQV19KZ6,22,2,27,0,0,10,11.0,semi-desert,WetTillagePuddling
ID_DN914L1HXLTP,25,4,25,5,0,10,6.25,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough
ID_QV7DCPBU92EX,25,2,28,7,0,10,12.5,semi-desert,FourWheelTracRotavator TractorPlough
ID_9XHBTKYR2GBR,40,5,24,7,0,10,8.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_WU5IIBFK7O9D,60,4,29,3,0,10,15.0,lush,TractorPlough BullockPlough
ID_FLXD2ND4ZSBB,8,4,28,3,0,10,2.0,lush,TractorPlough
ID_06HSCG5S828X,10,6,25,0,0,10,1.6666666666666667,semi-desert,TractorPlough FourWheelTracRotavator
ID_LOUZXEMSO13D,20,5,30,2,0,10,4.0,desert,TractorPlough FourWheelTracRotavator
ID_XP54YMY7PGJ9,60,5,30,8,0,10,12.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_QZQFWQKD1ZYI,12,4,28,3,0,10,3.0,lush,TractorPlough
ID_1MPH0AVVU08H,20,6,22,0,0,10,3.3333333333333335,semi-desert,TractorPlough FourWheelTracRotavator
ID_THVJU9N40FIV,1,4,27,5,0,10,0.25,semi-desert,FourWheelTracRotavator TractorPlough
ID_GJHXJDMA8B6P,11,4,25,3,0,10,2.75,lush,TractorPlough
ID_QFIBFMZNDFK3,18,5,25,0,0,10,3.6,semi-desert,FourWheelTracRotavator TractorPlough
ID_8HCP3XHDNOIP,10,5,30,6,0,10,2.0,semi-desert,WetTillagePuddling
ID_ZDCVUK7EEJB8,10,5,25,6,1,40,2.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_KFT5554E4B0U,20,4,30,3,0,10,5.0,lush,TractorPlough BullockPlough
ID_MFSNGXJGA8EV,20,4,21,4,0,10,5.0,lush,TractorPlough
ID_ZGIPBMRYI1P7,15,4,5,0,0,10,3.75,semi-desert,TractorPlough WetTillagePuddling FourWheelTracRotavator
ID_674IHCW4MX2Q,35,4,22,4,0,10,8.75,lush,TractorPlough
ID_N10Y2WS7J275,15,5,30,5,0,10,3.0,semi-desert,BullockPlough FourWheelTracRotavator TractorPlough WetTillagePuddling
ID_SAJN1QUSBYXO,15,6,25,7,0,10,2.5,semi-desert,TractorPlough WetTillagePuddling FourWheelTracRotavator
ID_AWO3EQY9XR0S,25,4,22,4,0,10,6.25,lush,TractorPlough
ID_TA3SNX5DAFW6,12,5,30,5,0,10,2.4,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_3ZYDLI7AHR53,60,5,25,8,0,10,12.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_OT1DQWM9EX0L,5,4,27,0,0,10,1.25,semi-desert,WetTillagePuddling TractorPlough
